Zone code,Region/Countries/Area,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
2,Africa,2015,Exports FOB (millions of US dollars),,,"402,988",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2020,Exports FOB (millions of US dollars),,,"389,155",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2021,Exports FOB (millions of US dollars),,,"553,861",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2022,Exports FOB (millions of US dollars),,,"669,987",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,1995,Balance imports/exports (millions of US dollars),,,"-10,892",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2005,Balance imports/exports (millions of US dollars),,,"60,428",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2010,Balance imports/exports (millions of US dollars),,,"28,159",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2015,Balance imports/exports (millions of US dollars),,,"-144,542",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2020,Balance imports/exports (millions of US dollars),,,"-109,572",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2021,Balance imports/exports (millions of US dollars),,,"-46,544",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
2,Africa,2022,Balance imports/exports (millions of US dollars),,,"-108,702",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,1995,Imports CIF (millions of US dollars),,,"45,062",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2005,Imports CIF (millions of US dollars),,,"87,571",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2010,Imports CIF (millions of US dollars),,,"181,147",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2015,Imports CIF (millions of US dollars),,,"205,560",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2020,Imports CIF (millions of US dollars),,,"185,560",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2021,Imports CIF (millions of US dollars),,,"223,591",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2022,Imports CIF (millions of US dollars),,,"255,792",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,1995,Exports FOB (millions of US dollars),,,"33,043",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2005,Exports FOB (millions of US dollars),,,"114,104",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2010,Exports FOB (millions of US dollars),,,"165,544",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2015,Exports FOB (millions of US dollars),,,"108,845",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2020,Exports FOB (millions of US dollars),,,"102,938",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2021,Exports FOB (millions of US dollars),,,"171,097",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2022,Exports FOB (millions of US dollars),,,"223,445",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,1995,Balance imports/exports (millions of US dollars),,,"-12,019",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2005,Balance imports/exports (millions of US dollars),,,"26,533",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2010,Balance imports/exports (millions of US dollars),,,"-15,603",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2015,Balance imports/exports (millions of US dollars),,,"-96,714",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2020,Balance imports/exports (millions of US dollars),,,"-82,622",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2021,Balance imports/exports (millions of US dollars),,,"-52,494",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
15,Northern Africa,2022,Balance imports/exports (millions of US dollars),,,"-32,346",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,1995,Imports CIF (millions of US dollars),,,"69,290",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2005,Imports CIF (millions of US dollars),,,"158,657",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2010,Imports CIF (millions of US dollars),,,"287,288",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2015,Imports CIF (millions of US dollars),,,"341,970",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2020,Imports CIF (millions of US dollars),,,"313,167",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2021,Imports CIF (millions of US dollars),,,"376,814",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2022,Imports CIF (millions of US dollars),,,"522,897",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,1995,Exports FOB (millions of US dollars),,,"70,417",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2005,Exports FOB (millions of US dollars),,,"192,552",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2010,Exports FOB (millions of US dollars),,,"331,050",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2015,Exports FOB (millions of US dollars),,,"294,142",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2020,Exports FOB (millions of US dollars),,,"286,217",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2021,Exports FOB (millions of US dollars),,,"382,764",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
202,Sub-Saharan Africa,2022,Exports FOB (millions of US dollars),,,"446,541",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2023."
